"Timestamp";"Transaction Type";"Asset";"Quantity Transacted";"Spot Price Currency";"Spot Price at Transaction";"Subtotal";"Total (inclusive of fees and/or spread)";"Fees and/or Spread";"Notes"
"2019-05-30T19:35:55Z";"Buy";"BTC";"0.00234805";"EUR";"7819.25";"18.36";"19.85";"1.49";"Bought 0.00234805 BTC for ?19.85 EUR"
"2019-07-13T18:26:43Z";"Buy";"BTC";"0.00090667";"EUR";"9937.46";"9.01";"10";"0.99";"Bought 0.00090667 BTC for €10.00 EUR"
"2019-07-15T05:37:29Z";"Buy";"BTC";"0.0052851";"EUR";"9055.65";"47.86";"49.85";"1.99";"Bought 0.0052851 BTC for €49.85 EUR"
"2019-07-16T17:12:32Z";"Buy";"BTC";"0.00271895";"EUR";"8646.72";"23.51";"25";"1.49";"Bought 0.00271895 BTC for €25.00 EUR"
"2019-07-19T13:19:01Z";"Buy";"BTC";"0.00201729";"EUR";"9175.68";"18.51";"20";"1.49";"Bought 0.00201729 BTC for €20.00 EUR"
"2019-09-26T16:24:05Z";"Buy";"BTC";"0.0066075";"EUR";"7265.99";"48.01";"50";"1.99";"Bought 0.0066075 BTC for €50.00 EUR"
"2020-03-13T08:33:02Z";"Buy";"BTC";"0.00966695";"EUR";"4966.41";"48.01";"50";"1.99";"Bought 0.00966695 BTC for €50.00 EUR"
"2020-03-14T15:58:42Z";"Buy";"BTC";"0.00185472";"EUR";"4857.88";"9.01";"10";"0.99";"Bought 0.00185472 BTC for €10.00 EUR"
"2020-06-06T22:45:23Z";"Send";"BTC";"0.00117894";"EUR";"8551.12";"";"";"";"Sent 0.00117894 BTC to bc1q6sn8sjrd5hwtm5dnu5avux2ptf0qe757eyq8j8"
"2020-06-07T15:37:16Z";"Buy";"BTC";"0.01145043";"EUR";"8472.17";"97.01";"100";"2.99";"Bought 0.01145043 BTC for €100.00 EUR"
"2020-06-07T15:38:31Z";"Send";"BTC";"0.01187515";"EUR";"8402.8";"";"";"";"Sent 0.01187515 BTC to 1EzuE8zjfkBpF9oiQ7aQbU5VkH4Tpim2QL"
"2020-06-15T06:36:15Z";"Buy";"BTC";"0.00597854";"EUR";"8030.39";"48.01";"50";"1.99";"Bought 0.00597854 BTC for €50.00 EUR"
"2020-06-15T19:15:23Z";"Send";"BTC";"0.02381387";"EUR";"8334.21";"";"";"";"Sent 0.02381387 BTC to 1EzuE8zjfkBpF9oiQ7aQbU5VkH4Tpim2QL"
"2020-06-25T06:14:14Z";"Buy";"BTC";"0.00958601";"EUR";"8226.57";"78.86";"81.85";"2.99";"Bought 0.00958601 BTC for €81.85 EUR"
"2020-07-03T16:48:32Z";"Buy";"BTC";"0.0058991";"EUR";"8138.53";"48.01";"50";"1.99";"Bought 0.0058991 BTC for €50.00 EUR"
"2021-01-09T12:01:34Z";"Send";"BTC";"0.00013596";"EUR";"33232.87";"";"";"";"Sent 0.00013596 BTC to 31p1PbJ19o44wDTVoFPfAEeL3Jt8roQosY"
"2021-01-09T14:19:48Z";"Send";"BTC";"0.02731538";"EUR";"33711.58";"";"";"";"Sent 0.02731538 BTC to 31p1PbJ19o44wDTVoFPfAEeL3Jt8roQosY"
"2022-01-22T05:09:12Z";"Buy";"ETH";"0.21791119";"EUR";"2280.75";"497";"499";"2";"Bought 0.21791119 ETH for €499.00 EUR"
"2022-01-22T05:14:33Z";"Send";"ETH";"0.21791119";"EUR";"2255.05";"";"";"";"Sent 0.21791119 ETH to 0xD5a742300f74E104F59f2E675756f06b104C7183"
"2022-01-22T17:54:11Z";"Buy";"ETH";"0.18657191";"EUR";"2134.57";"398.25";"399.85";"1.6";"Bought 0.18657191 ETH for €399.85 EUR"
"2022-01-22T18:07:00Z";"Send";"ETH";"0.18476368";"EUR";"2076.24";"";"";"";"Sent 0.18476368 ETH to 0xB111D3EBe69A29c966096da2e1FC97E8dd093643"
"2022-01-26T21:58:04Z";"Buy";"ETH";"0.22760443";"EUR";"2188.01";"498";"500";"2";"Bought 0.22760443 ETH for €500.00 EUR"
"2022-01-26T22:00:35Z";"Send";"ETH";"0.22941266";"EUR";"2144.45";"";"";"";"Sent 0.22941266 ETH to 0xe9432860B3D430301493E07d9b54195bC2D85056"
"2019-05-23T19:11:13Z";"Learning Reward";"BAT";"2.9265095";"EUR";"0.31";"0.91";"0.91";"0";"Received 2.9265095 BAT from Coinbase as a learning reward"
