Tijdstempel,Date,Action,Symbol,Bought Price,Broker Fee,Market Price,Coins received,Broker,Amount of Coins
15-6-2021 9:38:29,7-6-2021,Stake,BTC,0,,,"0,00000979",Bitvavo,"0,00000979"
15-6-2021 9:39:07,7-6-2021,Stake,ADA,0,,,"0,454839",Bitvavo,"0,454839"
15-6-2021 9:39:48,7-6-2021,Stake,TRX,0,,,"0,547167",Bitvavo,"0,547167"
15-6-2021 9:41:45,14-6-2021,Stake,ETH,0,,,"0,00041584",Bitvavo,"0,00041584"
15-6-2021 9:42:26,14-6-2021,Stake,BTC,0,,,"0,00000979",Bitvavo,"0,00000979"
15-6-2021 9:42:59,14-6-2021,Stake,ADA,0,,,"0,455265",Bitvavo,"0,455265"
15-6-2021 9:43:29,14-6-2021,Stake,TRX,0,,,"0,547478",Bitvavo,"0,547478"
23-6-2021 14:49:28,21-6-2021,Stake,ETH,0,,,"0,00041599",Bitvavo,"0,00041599"
23-6-2021 14:50:03,21-6-2021,Stake,BTC,0,,,"0,00000979",Bitvavo,"0,00000979"
23-6-2021 14:51:07,21-6-2021,Stake,ADA,0,,,"0,455691",Bitvavo,"0,455691"
23-6-2021 14:51:46,21-6-2021,Stake,TRX,0,,,"0,547788",Bitvavo,"0,547788"
1-7-2021 14:19:52,28-6-2021,Stake,ETH,0,,,"0,00041614",Bitvavo,"0,00041614"
1-7-2021 14:20:56,28-6-2021,Stake,BTC,0,,,"0,00000979",Bitvavo,"0,00000979"
1-7-2021 14:21:29,28-6-2021,Stake,ADA,0,,,"0,456118",Bitvavo,"0,456118"
1-7-2021 14:22:03,28-6-2021,Stake,TRX,0,,,"0,548099",Bitvavo,"0,548099"
5-7-2021 21:38:36,5-7-2021,Stake,TRX,0,,,"0,548409",Bitvavo,"0,548409"
5-7-2021 21:39:08,5-7-2021,Stake,ADA,0,,,"0,456545",Bitvavo,"0,456545"
5-7-2021 21:40:03,5-7-2021,Stake,BTC,0,,,"0,0000098",Bitvavo,"0,0000098"
5-7-2021 21:40:35,5-7-2021,Stake,ETH,0,,,"0,0004163",Bitvavo,"0,0004163"
18-7-2021 9:34:25,12-7-2021,Stake,ETH,0,,,"0,00041645",Bitvavo,"0,00041645"
18-7-2021 9:35:14,12-7-2021,Stake,BTC,0,,,"0,0000098",Bitvavo,"0,0000098"
18-7-2021 9:35:49,12-7-2021,Stake,ADA,0,,,"0,456972",Bitvavo,"0,456972"
18-7-2021 9:37:44,12-7-2021,Stake,TRX,0,,,"0,54872",Bitvavo,"0,54872"
19-7-2021 18:55:51,19-7-2021,Stake,ETH,0,,,"0,0004166",Bitvavo,"0,0004166"
19-7-2021 18:56:49,19-7-2021,Stake,BTC,0,,,"0,0000098",Bitvavo,"0,0000098"
19-7-2021 18:57:39,19-7-2021,Stake,ADA,0,,,"0,4574",Bitvavo,"0,4574"
19-7-2021 18:58:16,19-7-2021,Stake,TRX,0,,,"0,549032",Bitvavo,"0,549032"
13-12-2021 22:49:29,13-12-2021,Stake,ADA,0,,,"24,18",Bitvavo,"24,18"
5-1-2022 19:16:35,13-12-2021,Bought,MANA,,,,19,Binance,19
5-1-2022 19:17:35,5-1-2022,Bought,UNI,,,,"1,2",Binance,"1,2"
5-1-2022 19:18:06,5-1-2022,Bought,BNB,,,,"0,03678349",Binance,"0,03678349"
5-1-2022 19:22:51,5-1-2022,Bought,SHIB,,,,"1419096,07",Binance,"1419096,07"
5-1-2022 19:27:41,5-1-2022,Stake,ADA,0,,,"245,6101044",Binance,"245,6101044"
4-6-2022 12:14:10,16-1-2022,Bought,LBlock,,,,"515789,4",Other,"515789,4"
4-6-2022 12:47:07,4-6-2022,Stake,SHIB,0,,,"17605,62",Binance,"17605,62"
4-6-2022 12:56:19,4-6-2022,Stake,XRP,0,,,"97,884978",Bitvavo,"97,884978"
4-6-2022 12:58:18,30-5-2022,Stake,TRX,0,,,"9,6166391",Bitvavo,"9,6166391"
4-6-2022 13:00:02,20-11-2021,Bought,MANA,50,,,"13,77618818",Bitvavo,"13,77618818"
4-6-2022 13:04:43,23-12-2020,Stake,BAT,0,,,"22,8426101",Bitvavo,"22,8426101"
